[0],46,36,4,16,1,2,133,214.145,7.92727,0.309091,253.0,8.5,0.5,0,8,0
[0],50,52,0,8,0,3,133,214.145,7.92727,0.309091,253.0,8.5,0.5,6,12,2
[0],0,0,0,0,0,0,0,268.511,6.79389,0.152672,234.21,8.25,0.427419,0,0,0
[0],0,0,0,0,0,0,0,268.511,6.79389,0.152672,234.21,8.25,0.427419,0,4,1
[0],0,0,0,4,1,0,0,268.511,6.79389,0.152672,234.21,8.25,0.427419,8,5,4
[0],0,4,8,5,4,1,0,268.511,6.79389,0.152672,234.21,8.25,0.427419,21,7,0
[0],8,9,21,7,0,5,0,268.511,6.79389,0.152672,234.21,8.25,0.427419,4,10,0
[0],29,16,4,10,0,5,0,268.511,6.79389,0.152672,234.21,8.25,0.427419,10,8,1
[0],33,26,10,8,1,5,0,268.511,6.79389,0.152672,234.21,8.25,0.427419,8,4,2
[0],43,34,8,4,2,6,0,268.511,6.79389,0.152672,234.21,8.25,0.427419,8,6,0
[0],0,0,0,0,0,0,113,266.689,7.45355,0.213115,240.208,8.344,0.424,0,0,0
[0],0,0,0,0,0,0,113,266.689,7.45355,0.213115,240.208,8.344,0.424,8,7,1
[0],0,0,8,7,1,0,113,266.689,7.45355,0.213115,240.208,8.344,0.424,8,8,0
[0],8,7,8,8,0,1,113,266.689,7.45355,0.213115,240.208,8.344,0.424,12,12,0
[0],16,15,12,12,0,1,113,266.689,7.45355,0.213115,240.208,8.344,0.424,8,10,0
[0],28,27,8,10,0,1,113,266.689,7.45355,0.213115,240.208,8.344,0.424,4,10,0
[0],0,0,0,0,0,0,0,256.64,7.88235,0.360294,234.21,8.25,0.427419,0,0,0
[0],0,0,0,0,0,0,0,256.64,7.88235,0.360294,234.21,8.25,0.427419,18,6,0
[0],0,0,18,6,0,0,0,256.64,7.88235,0.360294,234.21,8.25,0.427419,16,5,1
[0],18,6,16,5,1,0,0,256.64,7.88235,0.360294,234.21,8.25,0.427419,4,12,1
[0],34,11,4,12,1,1,0,256.64,7.88235,0.360294,234.21,8.25,0.427419,0,9,0
[0],38,23,0,9,0,2,0,256.64,7.88235,0.360294,234.21,8.25,0.427419,4,10,1
[0],38,32,4,10,1,2,0,256.64,7.88235,0.360294,234.21,8.25,0.427419,4,17,1
[0],42,42,4,17,1,3,0,256.64,7.88235,0.360294,234.21,8.25,0.427419,8,11,0
[0],46,59,8,11,0,4,0,256.64,7.88235,0.360294,234.21,8.25,0.427419,12,17,0
[0],54,70,12,17,0,4,0,256.64,7.88235,0.360294,234.21,8.25,0.427419,8,12,3
[0],0,0,0,0,0,0,208,266.689,7.45355,0.213115,246.8,7.97241,0.331034,0,0,0
[0],0,0,0,0,0,0,208,266.689,7.45355,0.213115,246.8,7.97241,0.331034,8,15,0
[0],0,0,8,15,0,0,208,266.689,7.45355,0.213115,246.8,7.97241,0.331034,14,4,0
[0],8,15,14,4,0,0,208,266.689,7.45355,0.213115,246.8,7.97241,0.331034,12,10,0
[0],22,19,12,10,0,0,208,266.689,7.45355,0.213115,246.8,7.97241,0.331034,10,16,0
[0],34,29,10,16,0,0,208,266.689,7.45355,0.213115,246.8,7.97241,0.331034,12,16,1
